munip_label,munip_nis,n_inhabitants,income_mean
Herstappe,73028,89,19351
Hoeselt,73032,9709,18168
Kortessem,73040,8359,19146
Lanaken,73042,25800,18301
Riemst,73066,16592,17380
Tongeren,73083,30865,18454
Wellen,73098,7406,18780
Maasmechelen,73107,37813,15175
Voeren,73109,4129,16924
Aarlen,81001,29585,20722
Attert,81003,5491,23131
Aubange,81004,16856,15798
Martelange,81013,1814,17143
Messancy,81015,8153,20809
Bastenaken,82003,15737,16301
Bertogne,82005,3542,16539
Fauvillers,82009,2251,17580
Houffalize,82014,5232,16731
Vielsalm,82032,7783,15773
Vaux-sur-Sûre,82036,5581,16446
Gouvy,82037,5158,15140
Sainte-Ode,82038,2560,15708
Durbuy,83012,11459,16119
Erezée,83013,3216,16344
Hotton,83028,5534,15338
La Roche-en-Ardenne,83031,4162,15360
Marche-en-Famenne,83034,17401,16291
Nassogne,83040,5379,16642
Rendeux,83044,2572,16089
Tenneville,83049,2805,17429
Manhay,83055,3424,17299
Bertrix,84009,8740,15679
Bouillon,84010,5459,15866
Daverdisse,84016,1429,14868
Herbeumont,84029,1619,16127
Léglise,84033,5239,17530
Libin,84035,5083,16978
Neufchâteau (Neufchâteau),84043,7597,16781
Paliseul,84050,5336,15343
Saint-Hubert,84059,5588,16095
Tellin,84068,2471,16589
Wellin,84075,3062,16042
Libramont-Chevigny,84077,11154,17347
Chiny,85007,5179,16947
Etalle,85009,5785,20495
Florenville,85011,5628,16280
Meix-devant-Virton,85024,2806,17004
Musson,85026,4508,17729
Saint-Léger (Virton),85034,3565,19632
Tintigny,85039,4278,17364
Virton,85045,11381,16878
Habay,85046,8276,19176
Rouvroy,85047,2094,16833
Anhée,91005,7139,16721
Beauraing,91013,9161,15512
Bièvre,91015,3258,15173
Ciney,91030,16360,17115
Dinant,91034,13568,15914
Gedinne,91054,4570,15940
Hamois,91059,7286,17818
Havelange,91064,5152,16716
Houyet,91072,4810,16429
Onhaye,91103,3136,16685
Rochefort,91114,12599,15957
Somme-Leuze,91120,5501,16576
Yvoir,91141,9115,18824
Hastière,91142,6002,14784
Vresse-sur-Semois,91143,2678,15157
Andenne,92003,26767,16182
Assesse,92006,6947,19466
Eghezée,92035,16076,19487
Floreffe,92045,8051,18753
Fosses-la-Ville,92048,10436,17144
Gesves,92054,7171,19428
Mettet,92087,12971,17449
Namen,92094,110628,17806
Ohey,92097,5005,17373
Profondeville,92101,12143,19536
Sombreffe,92114,8422,18221
Sambreville,92137,28132,15499
Fernelmont,92138,7857,19598
Jemeppe-sur-Sambre,92140,18998,16851
La Bruyère,92141,9174,20880
Gembloux,92142,25763,19659
Cerfontaine,93010,4913,16286
Couvin,93014,13908,14725
Doische,93018,2921,15310
Florennes,93022,11320,16339
Philippeville,93056,9239,16191
Walcourt,93088,18353,18041
Viroinval,93090,5755,14763
